Porto São Bento	0	0	-2,699
Porto Campanhã	240	300	-0,05
Contumil	480	510	2,6
Rio Tinto	630	660	4,8
Águas Santas	780	810	6,44
Ermesinde	960	1020	8,525
Cabeda	1170	1200	10,5
Suzão	1380	1410	14,4
Valongo	1530	1560	16,1
S. Martinho do Campo	1710	1740	18,6
Terronhas	1920	1950	21,7
Trancoso	2070	2100	23,5
Recarei-Sobreira	2220	2250	25,4
Parada	2400	2430	28,2
Cête	2550	2580	30,22
Irivo	2700	2730	31,83
Oleiros	2820	2850	33,074
Paredes	2970	3000	35
Penafiel	3150	3180	38,13
Bustelo	3330	3360	40,9
Meinedo	3510	3540	43,2
Caíde	3780	3780	46,079